"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 20:56:28 GMT 2024","Tue May 21 20:56:28 GMT 2024","601","chromium","ui/landingPageTests.spec.ts","","","","Validate the Sidebar text of landing page",""
"passed","Tue May 21 20:56:29 GMT 2024","Tue May 21 20:56:32 GMT 2024","3582","webkit","ui/landingPageTests.spec.ts","","","","Validate the title of landing page",""
"passed","Tue May 21 20:56:27 GMT 2024","Tue May 21 20:56:28 GMT 2024","548","chromium","ui/landingPageTests.spec.ts","","","","Validate the Header Text of landing page",""
"passed","Tue May 21 20:56:26 GMT 2024","Tue May 21 20:56:27 GMT 2024","751","chromium","ui/landingPageTests.spec.ts","","","","Validate the title of landing page",""
"passed","Tue May 21 20:56:34 GMT 2024","Tue May 21 20:56:35 GMT 2024","1441","webkit","ui/landingPageTests.spec.ts","","","","Validate the Sidebar text of landing page",""
"passed","Tue May 21 20:56:32 GMT 2024","Tue May 21 20:56:34 GMT 2024","1186","webkit","ui/landingPageTests.spec.ts","","","","Validate the Header Text of landing page",""
