"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 16:49:00 GMT 2024","Tue May 21 16:49:01 GMT 2024","1212","webkit","ui/landingPageTests.spec.ts","","","","Validate the Sidebar text of landing page",""
"passed","Tue May 21 16:48:59 GMT 2024","Tue May 21 16:49:00 GMT 2024","1098","webkit","ui/landingPageTests.spec.ts","","","","Validate the Header Text of landing page",""
"passed","Tue May 21 16:48:55 GMT 2024","Tue May 21 16:48:59 GMT 2024","4479","webkit","ui/landingPageTests.spec.ts","","","","Validate the title of landing page",""
