"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 16:40:44 GMT 2024","Tue May 21 16:40:45 GMT 2024","533","chromium","ui/landingPageTests.spec.ts","","","","Validate the Header Text of landing page",""
"passed","Tue May 21 16:40:44 GMT 2024","Tue May 21 16:40:44 GMT 2024","921","chromium","ui/landingPageTests.spec.ts","","","","Validate the title of landing page",""
"passed","Tue May 21 16:40:45 GMT 2024","Tue May 21 16:40:46 GMT 2024","833","chromium","ui/landingPageTests.spec.ts","","","","Validate the Sidebar text of landing page",""
